,Report Received Date,NHTSA ID,Recall Link,Manufacturer,Subject,Component,Mfr Campaign Number,Recall Type,Potentially Affected,Recall Description,Consequence Summary,Corrective Action,Park Outside Advisory,Do Not Drive Advisory,Stock Abbreviation,fuzzy_company,ticker,open,close,market_cap,eps,full_name
24,2025-09-23,25V634000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V634000),"Porsche Cars North America, Inc.",High Pressure Fuel Pump May Leak and Cause a Fire,"FUEL SYSTEM, GASOLINE",ASA9,Vehicle,177,"Porsche Cars North America, Inc. (Porsche) is recalling certain 2024-2026 Panamera, Cayenne, and 2025 Panamera E-Hybrid vehicles. The fasteners securing the high pressure fuel pump may not be tightened properly, resulting in a fuel leak.",A fuel leak in the presence of an ignition source increases the risk of a fire.,"Dealers will inspect and tighten the screw connections and replace the high pressure fuel pump and fuel lines as necessary, free of charge. Interim letters, notifying owners of the safety risk, are expected to be mailed November 21, 2025. Additional letters will be sent once the final remedy is available. Owners may contact Porsche customer service at 1-800-767-7243. Porsche's number for this recall is ASA9. Vehicle Identification Numbers (VINs) involved in this recall will be searchable on NHTSA.gov beginning  October 10, 2025.",No,No,NYSE:,Cars.com Inc.,CARS,12.819999694824219,12.609999656677246,694334144,0.62,Cars.com Inc.
26,2025-09-20,25V632000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V632000),Motor Coach Industries,High Voltage Battery System May Short Circuit,ELECTRICAL SYSTEM,,Vehicle,12,"Motor Coach Industries (MCI) is recalling certain 2024 D45CRTE, D45CRTELE, and 2025 J4500E coaches. The high voltage battery may experience a short circuit within the battery module when charging to near or full capacity.",A short circuit in a high voltage battery increases the risk of a fire.,"Owners are advised to park outside and away from structures until the recall repair is complete. Owners are also advised to avoid charging vehicles above 75% capacity. The remedy is currently under development. Interim owner notification letters explaining the safety risk are expected to be mailed October 3, 2025. Owners may contact MCI customer service at 1-800-241-2947.",Yes,No,NYSE:,TOYOTA MOTOR CORP/,TOYOF,,,269150797824,2.14,Toyota Motor Corporation
27,2025-09-20,25V631000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V631000),"New Flyer of America, Inc.",High Voltage Battery System May Short Circuit,ELECTRICAL SYSTEM,,Vehicle,655,"New Flyer of America, Inc. (New Flyer) is recalling certain 2019 XE35, 2021-2025 XE35, XE40, and XE60 transit buses. The high voltage battery may experience a short circuit within the battery module when charging to near or full capacity.",A short circuit in a high voltage battery increases the risk of a fire.,"Owners are advised to park outside and away from structures until the recall repair is complete. Owners are also advised to avoid charging vehicles above 75% capacity. The remedy is currently under development. Interim owner notification letters explaining the safety risk are expected to be mailed October 3, 2025. Owners may contact New Flyer's customer service at 1-800-241-2947.",Yes,No,NYSE:,BANK OF AMERICA CORP /DE/,BACRP,,,,,Bank of America Corporation PFD SER B 7%
28,2025-09-19,25V630000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V630000),Isuzu Motors Limited,Fuel Heater May Overheat and Cause a Fire,"FUEL SYSTEM, OTHER",V2504,Vehicle,11385,"Isuzu Motors Limited (Isuzu) is recalling certain 2022-2026 Isuzu FVR, Isuzu FTR, Chevrolet 6500XD, and 2023-2026 Chevrolet 7500XD vehicles. The fuel heater may overheat, melting the casing and allowing fuel to leak into the electrical connector.",A fuel leak in the presence of an ignition source increases the risk of a fire.,"Dealers will inspect and replace the fuel heater and electrical connectors as necessary, free of charge. The manufacturer has not yet provided a schedule for recall notification. Owners may contact Isuzu customer service at 1-866-441-9638. Isuzu's number for this recall is V2504.",No,No,NYSE:ISUZY,General Motors Co,GM,59.5,58.97999954223633,64983121920,5.24,General Motors Company
30,2025-09-19,25V628000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V628000),Ford Motor Company,Engine Compartment Fire,,22S36/22S48,Vehicle,4632,Ford Motor Company (Ford) is recalling certain 2020 Expedition and Lincoln Navigator vehicles. A short circuit within the battery junction box can cause an engine fire while driving or parked.,A vehicle fire increases the risk of injury.,"Owners are advised to park their vehicles outside and away from structures and other vehicles, until the remedy is performed. Dealers will inspect and replace the battery junction box, as necessary, and remove a ground wire. On models equipped with standard-duty radiator fan motors, dealers will also install an auxiliary electrical box with a wire jumper. Repairs will be performed free of charge. Owner notification letters are expected to be mailed September 25, 2025. Owners may contact Ford customer service at 1-866-436-7332. Ford's numbers for this recall are 22S36 and 22S48. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on September 23, 2025.",Yes,No,NYSE:F,FORD MOTOR CO,F-PD,,,,,
32,2025-09-19,25V626000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V626000),Ford Motor Company,Loss of Steering Control from Steering Column Detachment,STEERING,25S94,Vehicle,115539,"Ford Motor Company (Ford) is recalling certain 2020-2021 F-250, F-350, and F-450 vehicles. The steering column upper shaft may detach from the steering column and result in a loss of steering control.",A loss of steering control increases the risk of a crash.,"Dealers will inspect the steering column, and repair or replace the upper shaft as necessary, free of charge. Interim letters, notifying owners of the safety risk, are expected to be mailed October 6, 2025. Additional letters will be sent once the final remedy is available, anticipated December 2025. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 25S94. Vehicle Identification Numbers (VINs) involved in this recall will be searchable on NHTSA.gov beginning  September 23, 2025.",No,No,NYSE:F,FORD MOTOR CO,F-PD,,,,,
33,2025-09-19,25V625000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V625000),Wabash National Corporation,Insufficient Rear Impact Protection/FMVSS 224,STRUCTURE,,Vehicle,10,"Wabash National Corporation (Wabash) is recalling certain 2026 DVCVHPC van trailers. The incorrect rear impact guard may have been installed. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 224, ""Rear Impact Protection.""","The incorrect guard may not sufficiently protect a following vehicle during a rear end crash, increasing the risk of injury.","Wabash replaced the rear impact guards, free of charge. All affected trailers were repaired by August 18, 2025. Owners may contact Wabash customer service at 1-765-771-5404.",No,No,NYSE:WNC,WABASH NATIONAL Corp,WNC,11.45571414017949,10.791183471679688,369672160,-2.22,Wabash National Corporation
34,2025-09-19,25V624000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V624000),Hyundai Motor America,Windshield Molding May Detach,STRUCTURE,028G,Vehicle,7855,Hyundai Motor America (Hyundai) is recalling certain 2023-2025 Genesis GV60 electric vehicles. The stainless-steel molding at the top of the windshield assembly may detach.,"Detached molding can create a road hazard for other vehicles, increasing the risk of a crash.","Dealers will replace the windshield molding, free of charge. Owner notification letters are expected to be mailed November 17, 2025. Owners may contact Genesis customer service at 844-340-9741. Hyundai's number for this recall is 028G. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on September 20, 2025.",No,No,NYSE:,TOYOTA MOTOR CORP/,TOYOF,19.760000228881836,19.8799991607666,269150797824,2.14,Toyota Motor Corporation
36,2025-09-18,25V623000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V623000),Ford Motor Company,Incorrect Tires and Steering Coupler Cover Installed,,25S95,Vehicle,212,Ford Motor Company (Ford) is recalling certain 2023-2024 Transit vehicles repaired incorrectly under recall numbers 24V226 and 24V591. An incorrect steering coupler cover and tires that were not designed for the vehicle may have been installed during a previous repair.,"Incorrect tires and an incorrect steering coupler cover can cause a loss of brake function, loss of steering control, or damage to tires, increasing the risk of a crash.","Dealers will inspect and if necessary, replace the tires, tire placard, and certification label, and also recalibrate the vehicle. Additionally, dealers will remove the steering coupler cover. Repairs will be performed free of charge. Interim letters, notifying owners of the safety risk, are expected to be mailed October 13, 2025. Additional letters will be sent once the final remedy is available, anticipated March 2026. Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 25S95. Vehicle Identification Numbers (VINs) involved in this recall will be searchable on NHTSA.gov beginning September 24, 2025.",No,No,NYSE:F,FORD MOTOR CO,F-PD,,,,,
38,2025-09-18,25V621000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V621000),Volvo Trucks North America,Inoperative Trailer Lighting,EXTERIOR LIGHTING,RVXX2507,Vehicle,2307,"Volvo Trucks North America (Volvo Trucks) is recalling certain 2025-2026 New VN trucks. When towing a trailer, the trailer lights may fail to illuminate due to an improperly manufactured body control module.","Trailer tail lights and turn signals that do not illuminate as intended can reduce visibility to other drivers, increasing the risk of a crash.","Dealers will replace the trailer body input/output module, free of charge. Owner notification letters are expected to be mailed November 17, 2025. Owners may contact Volvo Trucks' customer service at 800-528-6586. Volvo Trucks' number for this recall is RVXX2507. Vehicle Identification Numbers (VINs) involved in this recall will be searchable on NHTSA.gov beginning September 25, 2025.",No,No,NYSE:,Central North Airport Group,GAERF,13.9399995803833,13.9399995803833,4924503552,0.73,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V."
39,2025-09-18,25V620000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V620000),Volvo Trucks North America,Defective Latch May Prevent Door from Opening,LATCHES/LOCKS/LINKAGES,RVXX2508,Vehicle,3609,"Volvo Trucks North America (Volvo Trucks) is recalling certain 2026 New VN trucks. The door latch cable on the interior door handle may be incorrectly installed, preventing the door from opening.","A door that cannot be opened from the inside may trap occupants, increasing the risk of injury.","Dealers will replace the door latch cable and pivot clip, free of charge. Owner notification letters are expected to be mailed November 17, 2025. Owners may contact Volvo Trucks' customer service at 800-528-6586. Volvo Trucks' number for this recall is RVXX2508. Vehicle Identification Numbers (VINs) involved in this recall will be searchable on NHTSA.gov beginning September 25, 2025.",No,No,NYSE:,Central North Airport Group,GAERF,13.9399995803833,13.9399995803833,4924503552,0.73,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V."
40,2025-09-18,25V619000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V619000),"General Motors, LLC",Replacement Fuel Tank May Leak During a Rollover Crash,"FUEL SYSTEM, DIESEL",N252512770,Vehicle,12,"General Motors, LLC (GM) is recalling certain 2021 Cadillac Escalade, 2021, 2023-2024 Chevrolet Tahoe, and 2022 and 2024 GMC Yukon vehicles equipped with a 6-cylinder diesel engine. The original fuel tank may have been replaced with an incorrect fuel tank, which can allow fuel to leak in a rollover crash.",A fuel leak in the presence of an ignition source increases the risk of a vehicle fire.,"Dealers will inspect for the correct fuel tank and replace it, if necessary, free of charge. Owner notification letters are expected to be mailed November 3, 2025. Owners may contact Cadillac customer service at 1-800-333-4223, Chevrolet customer service at 1-800-222-1020, or GMC customer service at 1-800-462-8782.  GM's number for this recall is N252512770. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on September 18, 2025.",No,No,NYSE:GM,General Motors Co,GM,58.79999923706055,59.2599983215332,64983121920,5.24,General Motors Company
41,2025-09-17,25V618000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V618000),Reading Truck Group LLC,Trailer Hitch May Detach,,,Vehicle,10,"Reading Truck Body, LLC (Reading) is recalling certain 2023 Ram 4500 vehicles equipped with a Curt Hitch (P/N 15400). The trailer hitch may have been installed with too few mounting bolts, causing the assembly to loosen and detach.","A detached trailer hitch assembly can create a road hazard for other vehicles, increasing the risk of a crash.","Reading will replace the hitch, free of charge. Owner notification letters are expected to be mailed September 2025. Owners may contact Reading's customer service at 1-610-775-3301.",No,No,NYSE:,Full Truck Alliance Co. Ltd.,YMM,13.600000381469727,13.880000114440918,13638460416,0.56,Full Truck Alliance Co. Ltd.
42,2025-09-17,25V616000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V616000),"BMW of North America, LLC",Damaged Seat Belt Retractor,SEAT BELTS,,Vehicle,1571,"BMW of North America, LLC is recalling certain 2025-2026 X1 and X2, MINI Cooper Convertible, MINI Cooper, Mini Countryman S ALL4, and 2025 MINI Countryman SE ALL4 vehicles. The torsion bar in both front seat belt retractors may have been damaged during production.","A damaged seat belt retractor may not properly restrain an occupant during a crash, increasing the risk of injury.","Dealers will replace both front seat belt retractors, free of charge.  Owner notification letters are expected to be mailed November 7, 2025. Owners may contact BMW customer service at 1-800-525-7417. Vehicle Identification Numbers (VINs) will be searchable on NHTSA.gov on November 7, 2025.",No,No,NYSE:,Central North Airport Group,GAERF,13.9399995803833,13.9399995803833,4924503552,0.73,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V."
